"Identifikator";"Firma";"Zusatz";"PLZ";"Ort";"Status";"Bemerkung"
"107630 12345";"Vadec SA - Site de La Chaux-de-Fonds";"";"2300";"La Chaux-de-Fonds";"AKTIV";"Ehemals: Cridor SA, Centre régional d'incinération des ordures S.A., 2300 La Chaux-de-Fonds (CRIDOR et SAIOD sind in 2008 zur VADEC SA fusioniert)."
"107640 12345";"IBC Energie Wasser Chur";"";"7000";"Chur";"AKTIV";""
"107650 12345";"Werke Fehraltorf";"";"8320";"Fehraltorf";"AKTIV";""
"107660 12345";"Energie Gossau AG";"";"8625";"Gossau ZH";"AKTIV";""
"107670 12345";"Elettricità Industriale SA (ELIN)";"c/o Axpo Power AG";"5400";"Baden";"AKTIV";""
"107680 12345";"Elektrizitätswerk Heiden AG";"";"9410";"Heiden";"AKTIV";""
"107690 12345";"Jungfraubahn AG";"Kraftwerk";"3800";"Interlaken";"AKTIV";""
"107700 12345";"Kernkraftwerk Leibstadt AG";"";"5325";"Leibstadt";"AKTIV";""
"107710 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"107720 12345";"tbgs - Technische Betriebe Glarus Süd";"";"8762";"Schwanden";"PASSIV";"Ehemals: Elektrizitätsversorgung Luchsingen, 8777 Diesbach GL (bis 2010)"
"107730 12345";"Elektrizitätsgenossenschaft Lufingen";"";"8426";"Lufingen";"AKTIV";""
"107740 12345";"Societad Ovra electrica Lumbrein";"";"7148";"Lumbrein";"AKTIV";""
"107750 12345";"Technische Gemeindebetriebe Märstetten";"";"8560";"Märstetten";"AKTIV";""
"107760 12345";"Infrastruktur Zürichsee AG";"";"8706";"Meilen";"AKTIV";"Ehemals: Energie und Wasser Meilen AG, 8706 Meilen (Fusion mit Energie Uetikon per 1.1.2019)"
"107770 12345";"Energia Samedan";"";"7503";"Samedan";"AKTIV";""
"107780 12345";"Electricité de la Lienne S.A.";"";"1950";"Sion";"AKTIV";""
"107790 12345";"Leteygeon S.A.";"";"1950";"Sion";"AKTIV";""
"107800 12345";"Gemeindewerke Stäfa";"energie und wasser";"8712";"Stäfa";"AKTIV";""
"107810 12345";"Stadtverwaltung EW Werkbetriebe";"Strom, Wasser, Abwasser, Gas";"8266";"Steckborn";"AKTIV";""
"107820 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"107830 12345";"Energie AG Sumiswald";"";"3455";"Grünen";"AKTIV";""
"107840 12345";"Elektrizitätswerk Tuggen";"";"8856";"Tuggen";"AKTIV";""
"107850 12345";"Kleinkraftwerk Saien AG";"";"9107";"Urnäsch";"AKTIV";""
"107860 12345";"Energie Wettingen AG";"";"5430";"Wettingen";"AKTIV";""
