"Identifikator";"Firma";"Zusatz";"PLZ";"Ort";"Status";"Bemerkung"
"109140 12345";"Politische Gemeinde Bürglen";"Elektrizitätswerk Ost";"8575";"Bürglen TG";"AKTIV";""
"109150 12345";"Elektra-Genossenschaft Homburg";"";"8508";"Homburg";"PASSIV";"Ehemals: Elektra Tägermoos, 8507 Hörhausen (bis 31.12.2008)"
"109160 12345";"Energieversorgung";"Gemeindeverwaltung Uesslingen-Buch";"8524";"Uesslingen";"PASSIV";"Ehemals: Wasser- und Elektrokorporation Trüttlikon, 8524 Uesslingen (Übernahme per 1.1.2014)"
"109170 12345";"St. Gallisch-Appenzellische Kraftwerke AG";"";"9000";"St. Gallen";"PASSIV";"Ehemals: Elektroversorgung Mühlrüti, 9613 Mühlrüti (Übernahme durch SAK per 1.1.2020)"
"109180 12345";"Elektrizitätswerk Randa AG";"";"3928";"Randa";"AKTIV";""
"109190 12345";"Elektra-Genossenschaft Waldhäusern";"";"5624";"Waldhäusern";"AKTIV";""
"109200 12345";"Elektrizitätsversorgung";"c/o Zurbriggen Arnold";"3910";"Saas-Grund";"AKTIV";""
"109210 12345";"Elektrizitätswerk Stalden (VS)";"Gemeindekanzlei";"3922";"Stalden VS";"AKTIV";""
"109220 12345";"Elektrizitätswerk Wigoltingen";"";"8556";"Wigoltingen";"PASSIV";"Ehemals: Elektra Engwang-Hof, 8556 Wigoltingen (Übernahme 1.1.2013)"
"109230 12345";"Bas-Valais Energie SA";"c/o Romande Energie SA";"1110";"Morges";"PASSIV";"Ehemals: Sociéte Electrique de Champéry SA, 1874 Champéry (Übernahme Romande Energy in 2008)"
"109240 12345";"IBB Energie AG";"";"5200";"Brugg";"PASSIV";"Ehemals: Elektra Elfingen, 5077 Elfingen (Übernahme 2014)"
"109250 12345";"St. Gallisch-Appenzellische Kraftwerke AG";"";"9000";"St. Gallen";"PASSIV";"Ehemals: Elektrizitätsgenossenschaft Brübach-Laupen, 9245 Oberbüren (Übernahme 1.1.2011)"
"109260 12345";"Società Elettrica Sopracenerina SA (SES)";"";"6600";"Locarno";"PASSIV";"Ehemals: Azienda Elettrica Comunale Fusio, 6696 Fusio (Übernahme 2012)"
"109270 12345";"Politische Gemeinde Berlingen Elektrizitätswerk";"";"8267";"Berlingen";"AKTIV";""
"109280 12345";"Einwohnergemeinde Lüsslingen-Nennigkofen";"";"4574";"Nennigkofen";"AKTIV";""
"109290 12345";"Werkbetriebe Matzingen";"";"9548";"Matzingen";"PASSIV";"Ehemals: Elektra-Korporation Ristenbühl, 9548 Matzingen (Übernahme per 1.1.2010)"
"109300 12345";"Gemeindebetriebe Büetigen";"";"3263";"Büetigen";"AKTIV";""
"109310 12345";"Elektrogenossenschaft Ulisbach";"";"9631";"Ulisbach";"AKTIV";""
"109320 12345";"Arosa Energie";"";"7050";"Arosa";"PASSIV";"Ehemals: Gemeindekorporation Kraftwerk Lüen GKL, 7027 Castiel; 1.1.2013 Gemeinfusion der Gemeinden Arosa,  Calfreisen,  Castiel,  Langwies,  Lüen,  Molinis,  Peist  und  St.  Peter-Pagig zur Gemeinde Arosa"
"109330 12345";"Arosa Energie";"";"7050";"Arosa";"PASSIV";"Ehemals: Elektrizitätswerk der Gemeinde Peist, 7029 Peist; 1.1.2013 Gemeinfusion der Gemeinden Arosa,  Calfreisen,  Castiel,  Langwies,  Lüen,  Molinis,  Peist  und  St.  Peter-Pagig zur Gemeinde Arosa"
"109340 12345";"Elektrizitätswerk der Gemeinde Bussnang";"";"9565";"Bussnang";"PASSIV";"Ehemals: Elektra Stehrenberg-Lanterswil-Toos, 8577 Schönholzerswilen (Übernahme 2015)"
"109350 12345";"Elektra-Genossenschaft Bellikon-Hausen";"";"5454";"Bellikon";"AKTIV";""
"109360 12345";"Politische Gemeinde Eschenz Elektrizitätswerk";"";"8264";"Eschenz";"AKTIV";""
"109370 12345";"Gemeinde Albula/Alvra";"Elektrizitätsversorgung";"7450";"Tiefencastel";"PASSIV";"Ehemals: Elektrizitätswerk der Gemeinde Surava, 7472 Surava (bis 2015)"
"109380 12345";"Elektrizitätswerk Safiental";"";"7107";"Safien Platz";"PASSIV";"Ehemals: Elektrizitätswerk der Gemeinde Versam, 7104 Versam (bis 2012)"
"109390 12345";"Arosa Energie";"";"7050";"Arosa";"PASSIV";"Ehemals: Elektrizitätswerk der Gemeinde Molinis, 7056 Molinis; 1.1.2013 Gemeinfusion der Gemeinden Arosa,  Calfreisen,  Castiel,  Langwies,  Lüen,  Molinis,  Peist  und  St.  Peter-Pagig zur Gemeinde Arosa"
"109400 12345";"Elektra Betenwil Baumannshaus";"";"9325";"Roggwil TG";"AKTIV";""
"109410 12345";"Elektrakorporation Wagerswil";"";"8564";"Wagerswil";"AKTIV";""
"109420 12345";"Genossenschaft Elektra Roggwil-Freidorf";"";"9325";"Roggwil TG";"PASSIV";"Ehemals: Genossenschaft Elektra Freidorf-Watt, 9306 Freidorf TG"
"109430 12345";"Elektrizitätswerk der Gemeinde Bussnang";"";"9565";"Bussnang";"AKTIV";""
"109440 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"109450 12345";"Services industriels de la Commune de St. Maurice";"";"1890";"St-Maurice";"AKTIV";""
"109460 12345";"Genossenschaft Stromversorgung";"Kalpetran GSK";"3922";"Kalpetran";"AKTIV";""
"109470 12345";"Elektra Maugwil-Uerental-Boxloo-Weid";"";"9552";"Bronschhofen";"AKTIV";""
"109480 12345";"Elektrizitätsgenossenschaft Oberwil i.S.";"c/o Florian Schär";"3765";"Oberwil im Simmental";"AKTIV";""
"109490 12345";"Energieversorgung Talschaft Lötschen";"c/o Rell AG";"3952";"Susten";"AKTIV";""
"109500 12345";"Energiedienste Steg Hohtenn";"c/o Rell AG";"3952";"Susten";"AKTIV";""
"109510 12345";"Azienda Elettrica Comunale Brusio";"";"7743";"Brusio";"AKTIV";""
"109520 12345";"Gemeindeverwaltung Eisten";"Elektrizitätsversorgung";"3922";"Eisten";"AKTIV";""
"109530 12345";"Elektra Niederbuchsiten";"";"4626";"Niederbuchsiten";"AKTIV";""
"109540 12345";"Politische Gemeinde Herdern";"Werkbetriebe";"8506";"Lanzenneunforn";"AKTIV";""
"109550 12345";"Elektra Fulenbach";"";"4629";"Fulenbach";"AKTIV";""
"109560 12345";"Elektrizitätsversorgung Beinwil am See";"";"5712";"Beinwil am See";"AKTIV";""
"109570 12345";"Elektro-Genossenschaft Oberrüti";"Herr Josef Bühlmann";"5647";"Oberrüti";"AKTIV";""
"109580 12345";"Gommerkraftwerke AG";"";"3995";"Ernen";"AKTIV";""
"109590 12345";"Energieversorgung EVA";"";"2558";"Aegerten";"AKTIV";""
"109600 12345";"Elektra Haeuslenen";"";"8522";"Häuslenen";"AKTIV";"Neuer Identifikator nach EW-Fusion von Elektra-/Wasser Korporation Aawangen und Elektra Häuslenen (1.1.2012)"
"109610 12345";"Elektrogenossenschaft Bisisthal";"";"6436";"Muotathal";"AKTIV";""
"109620 12345";"Immobilien Gletsch AG";"";"3988";"Ulrichen";"AKTIV";""
"109630 12345";"Commune mixte de Plateau de Diesse";"";"2515";"Prêles";"AKTIV";"Ehemals: Commune mixte Lamboing, 2516 Lamboing. Am 1.1.2014 fusionierten die Gemeinden Diesse, Lamboing und Prêles"
"109640 12345";"Elektragenossenschaft Mellikon";"c/o Elektrizitäts-Genossenschaft Siggenthal";"5415";"Nussbaumen AG";"AKTIV";""
"109650 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"109660 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"109670 12345";"Media Mesolcina Energia";"";"6562";"Soazza";"PASSIV";"Ehemals: Azienda Elettrica Lostallo, 6558 Lostallo (Fusion der Azienda Elettrica Comunale Soazza, Azienda Elettrica Lostallo und Azienda Elettrica Leggia per 1.1.2020)"
"109680 12345";"Azienda Elettrica Comunale Mesocco";"";"6563";"Mesocco";"AKTIV";""
"109690 12345";"Consorzio azienda elettrica Grevasalvas";"";"7517";"Plaun da Lej";"AKTIV";""
"109700 12345";"Comune di Bregaglia";"Azienda Elettrica Bregaglia AEB";"7606";"Promontogno";"PASSIV";"Ehemals: Azienda Elettrica Bondo, 7606 Promontogno (bis 31.12.2009)"
"109710 12345";"Comune di Bregaglia";"Azienda Elettrica Bregaglia AEB";"7606";"Promontogno";"PASSIV";"Ehemals: Azienda Elettrica Castasegna, 7608 Castasegna (bis 31.12.2009)"
"109720 12345";"Comune di Bregaglia";"Azienda Elettrica Bregaglia AEB";"7606";"Promontogno";"PASSIV";"Ehemals: Azienda elettrica Soglio, 7610 Soglio (bis 31.12.2009)"
"109730 12345";"Forces Motrices du Grand-St-Bernard";"";"1937";"Orsières";"AKTIV";""
"109740 12345";"Forces Motrices de Sembrancher";"";"1933";"Sembrancher";"AKTIV";""
"109750 12345";"Axpo Power AG";"Kernenergie Beznau";"5312";"Döttingen";"AKTIV";""
"109760 12345";"Swissgrid AG";"";"5000";"Aarau";"PASSIV";"Ehemals: Gesellschaft für gemeinsamen Bau und Betrieb des Unterwerkes Mettlen, 6002 Luzern. Das UW Mettlen wurde in 2013 von Swissgrid übernommen."
"109770 12345";"EOF Energie Oberes Fricktal AG";"";"5073";"Gipf-Oberfrick";"PASSIV";"Ehemals: Elektra-Genossenschaft Wittnau, Gemeindekanzlei, 5064 Wittnau (Zusammenschluss der Elektra Gipf-Oberfrick, der Elektra Wölflinswil, der Elektra Genossenschaft Oberhof und das Gemeindewerk von Wittnau per 1.1.2016)"
"109780 12345";"Elektrizitätsgenossenschaft Binn";"";"3996";"Binn";"AKTIV";""
"109790 12345";"Aziende Industriali di Lugano (AIL) SA";"";"6933";"Muzzano";"PASSIV";"Der Identifikator wurde von der: AIL Servizi SA, 6933 Muzzano gelöst"
"109800 12345";"Stromversorgung Simplon-Dorf";"";"3907";"Simplon Dorf";"AKTIV";""
"109810 12345";"Werke am Zürichsee AG";"";"8700";"Küsnacht";"AKTIV";"2009: Teilzusammenschluss der Gemeindewerke Küsnacht und Zollikon sowie der EWE AG, Erlenbach"
"109820 12345";"MÜVE Biel - Seeland AG";"";"2503";"Biel/Bienne";"AKTIV";""
"109830 12345";"Einwohnergemeinde Luterbach";"";"4542";"Luterbach";"AKTIV";""
"109840 12345";"Einwohnergemeinde Langendorf";"";"4513";"Langendorf";"AKTIV";""
"109850 12345";"Technische Betriebe Glarus";"";"8750";"Glarus";"AKTIV";"Neuer Identifikator nach Gemeindefusion zu Gemeinde Glarus ""Mitte"" (per 1.1.2011)"
"109860 12345";"Technische Betriebe Glarus Nord";"";"8752";"Näfels";"AKTIV";"Neuer Identifikator nach Gemeindefusion zu Gemeinde Glarus ""Nord"" (per 1.1.2011)"
"109870 12345";"Einwohnergemeinde Gerlafingen";"";"4563";"Gerlafingen";"AKTIV";""
"109880 12345";"Genossenschaft Werk Bichelsee-Balterswil";"";"8362";"Balterswil";"AKTIV";"Neuer Identifikator nach Zusammenschluss der Elektra Bichelsee, Elektrizitäts-Korporation Steig und der Elektra Balterswil"
"109890 12345";"EOF Energie Oberes Fricktal AG";"";"5073";"Gipf-Oberfrick";"PASSIV";"Ehemals: Elektra Genossenschaft Gipf-Oberfrick, 5073 Gipf-Oberfrick (Zusammenschluss der Elektra Gipf-Oberfrick, der Elektra Wölflinswil, der Elektra Genossenschaft Oberhof und das Gemeindewerk von Wittnau per 1.1.2016)"
"109900 12345";"tbgs - Technische Betriebe Glarus Süd";"";"8762";"Schwanden";"AKTIV";"Neuer Identifikator nach Gemeindefusion zu Gemeinde Glarus ""Süd"" (per 1.1.2011)"
"109910 12345";"EKZ Einsiedeln AG";"";"8953";"Dietikon";"AKTIV";""
"109920 12345";"Elektrizitätsgenossenschaft Moos-Dieselbach";"";"9116";"Wolfertswil";"AKTIV";""
"109930 12345";"VO Energies Distribution SA";"";"1350";"Orbe";"AKTIV";"Neuer Identifikator nach Zusammenschlus der Société Electrique du Châtelard S.A., 1337 Vallorbe und Société des Usines de l'Orbe, 1350 Orbe (per 2013)"
"109940 12345";"Elektrizitätswerk Safiental";"";"7107";"Safien Platz";"AKTIV";"Neuer Identifikator nach Fusion von EV Safien, EV Tenna und EW-Versam (per 1.1.2013)"
"109950 12345";"Elektra Gretzenbach AG";"";"5014";"Gretzenbach";"AKTIV";""
"109960 12345";"Repower";"";"7742";"Poschiavo";"AKTIV";"Neuer Identifikator Region Puschlav/Oberengadin"
"109970 12345";"Energia del Moesano SA";"";"6537";"Grono";"AKTIV";""
"109980 12345";"Elektra Trungen";"c/o M. Flammer";"9552";"Bronschhofen";"AKTIV";""
"109990 12345";"Eli10 S.A.";"";"2022";"Bevaix";"AKTIV";"Neuer Identifikator nach Zusammenschluss der Commune d'Auvernier, Commune de Bôle, SE Saint-Blaise, Services Industriels de Boudry, Commune de Cornaux"
"110000 12345";"Elektrizitätsversorgung der Gemeinde Sils";"";"7411";"Sils im Domleschg";"AKTIV";""
"110010 12345";"Comune di Bregaglia";"Azienda Elettrica Bregaglia AEB";"7606";"Promontogno";"AKTIV";"Neuer Identifikator nach Fusion der Gemeinden Bondo, Castasegna, Soglio, Stampa und Vicosoprano (per 1.1.2010)"
"110020 12345";"Gemeinde Sufers";"";"7434";"Sufers";"AKTIV";""
"110030 12345";"Dransgrid SA";"";"1937";"Orsières";"AKTIV";""
"110040 12345";"Elektrizitätswerk der Gemeinde Surses";"";"7453";"Tinizong";"AKTIV";"Neue Identifikator nach Zusammenschluss der EV Savognin, EV Riom-Parsonz, EV Sur, EV Marmorera, EV Mulegns, EV Salouf, EV Tinizong-Rona, EV Cunter zum EV Surses per 01.01.2017"
"110050 12345";"SEDRE SA";"";"1934";"Le Châble VS";"AKTIV";"Neuer Identifikator nach Zusammenschluss der Services Industriels de Bagnes, Service électricité de la commune de Bovernier,  Service Electrique de la Commune de Vollèges,   Services électriques de la Commune de Sembrancher per 1.1.2017"
"110060 12345";"Albula Netz AG";"c/o Albula Landwasser Kraftwerk AG";"7477";"Filisur";"AKTIV";""
"110070 12345";"ADEV Energiegenossenschaft";"";"4410";"Liestal";"AKTIV";"Der Identifikator wurde von der: ADEV Solarstrom AG, 4410 Liestal gelöst"
"110080 12345";"OIKEN";"";"1951";"Sion";"AKTIV";"Neuer Identifikator nach Zusammenschluss der L'Energie de Sion-Région SA und der Sierre-Energie SA für den 1. Januar 2020"
"110090 12345";"Media Mesolcina Energia";"";"6562";"Soazza";"AKTIV";"Neuer Identifikator nach Zusammenschluss der ""Azienda Elettrica Comunale Soazza"", der ""Azienda Elettrica Lostallo"" und der ""Azienda Elettrica Leggia"" (per 1.1.2020)"
"110100 12345";"Energia S-Chanf (ESC)";"Vschinauncha S-chanf";"7525";"S-chanf";"AKTIV";"Rückkauf von Repower"
"110110 12345";"Lonza AG";"";"3930";"Visp";"AKTIV";"Antrag um Zuteilung eines Indentifikators (13.06.2022) Roger Holzer Lonza AG"
